time,open,high,low,close,volume
2024-11-29 14:30:00,16.06,16.065,16.06,16.065,12780
2024-11-29 14:31:00,16.065,16.11,16.065,16.085,1891
2024-11-29 14:32:00,16.1,16.12,16.1,16.115,400
2024-11-29 14:33:00,16.1,16.1,16.09,16.09,778
2024-11-29 14:34:00,16.085,16.1,16.085,16.09,2908
2024-11-29 14:35:00,16.09,16.09,16.055,16.055,6396
2024-11-29 14:36:00,16.045,16.045,16.03,16.03,3636
2024-11-29 14:37:00,16.03,16.03,16.02,16.02,570
2024-11-29 14:38:00,16.015,16.015,16.015,16.015,1200
2024-11-29 14:39:00,16.02,16.025,16.015,16.02,2544
2024-11-29 14:40:00,16.03,16.06,16.03,16.04,2710
2024-11-29 14:41:00,16.03,16.03,16.02,16.02,880
2024-11-29 14:42:00,16.02,16.02,16.015,16.02,2001
2024-11-29 14:43:00,16.02,16.03,16.015,16.019,3974
2024-11-29 14:44:00,16.015,16.015,16.0,16.01,1805
2024-11-29 14:45:00,16.01,16.01,16.01,16.01,730
2024-11-29 14:46:00,15.99,16.005,15.99,16.005,1304
2024-11-29 14:47:00,16.01,16.02,16.005,16.02,2986
2024-11-29 14:48:00,16.025,16.03,16.005,16.005,4363
2024-11-29 14:49:00,16.01,16.0107,16.01,16.0107,703
2024-11-29 14:50:00,16.01,16.01,16.005,16.005,1203
2024-11-29 14:52:00,16.005,16.005,15.995,15.995,1812
2024-11-29 14:53:00,15.99,15.995,15.99,15.995,2313
2024-11-29 14:54:00,15.995,16.035,15.995,16.035,3835
2024-11-29 14:55:00,16.04,16.055,16.04,16.05,3923
2024-11-29 14:56:00,16.045,16.045,16.04,16.04,1165
2024-11-29 14:57:00,16.035,16.035,16.03,16.03,666
2024-11-29 14:58:00,16.03,16.03,16.025,16.025,563
2024-11-29 14:59:00,16.02,16.02,16.02,16.02,1291
2024-11-29 15:00:00,16.005,16.005,15.995,16.0,5982
2024-11-29 15:01:00,16.0,16.0,15.99,15.99,14683
2024-11-29 15:02:00,15.995,16.0,15.995,16.0,1603
2024-11-29 15:04:00,16.005,16.02,16.005,16.02,3243
2024-11-29 15:06:00,16.02,16.03,16.015,16.025,5439
2024-11-29 15:07:00,16.03,16.05,16.03,16.03,7003
2024-11-29 15:08:00,16.0293,16.0293,16.0293,16.0293,560
2024-11-29 15:09:00,16.03,16.03,16.025,16.025,1274
2024-11-29 15:10:00,16.025,16.03,16.025,16.03,400
2024-11-29 15:11:00,16.0393,16.0499,16.0393,16.0499,7102
2024-11-29 15:12:00,16.045,16.045,16.0412,16.0412,629
2024-11-29 15:13:00,16.05,16.05,16.04,16.045,1546
2024-11-29 15:14:00,16.05,16.06,16.05,16.06,901
2024-11-29 15:15:00,16.055,16.055,16.03,16.03,4405
2024-11-29 15:16:00,16.03,16.03,16.025,16.025,500
2024-11-29 15:17:00,16.025,16.025,16.025,16.025,100
2024-11-29 15:18:00,16.0294,16.0294,16.0294,16.0294,400
2024-11-29 15:19:00,16.03,16.03,16.03,16.03,1804
2024-11-29 15:20:00,16.02,16.03,16.02,16.025,1300
2024-11-29 15:21:00,16.025,16.03,16.025,16.03,1318
2024-11-29 15:23:00,16.035,16.04,16.035,16.04,1101
2024-11-29 15:24:00,16.045,16.045,16.035,16.04,4995
2024-11-29 15:25:00,16.035,16.045,16.035,16.0412,1317
2024-11-29 15:26:00,16.04,16.04,16.04,16.04,988
2024-11-29 15:27:00,16.035,16.0394,16.025,16.03,9971
2024-11-29 15:28:00,16.035,16.035,16.0298,16.0298,2988
2024-11-29 15:29:00,16.025,16.025,16.025,16.025,200
2024-11-29 15:30:00,16.03,16.03,16.03,16.03,809
2024-11-29 15:31:00,16.0331,16.04,16.0331,16.04,900
2024-11-29 15:32:00,16.05,16.06,16.045,16.055,710
2024-11-29 15:35:00,16.05,16.05,16.04,16.045,2654
2024-11-29 15:36:00,16.045,16.045,16.045,16.045,100
2024-11-29 15:37:00,16.045,16.045,16.045,16.045,500
2024-11-29 15:38:00,16.045,16.06,16.045,16.05,3949
2024-11-29 15:39:00,16.05,16.05,16.05,16.05,1012
2024-11-29 15:40:00,16.06,16.06,16.06,16.06,600
2024-11-29 15:41:00,16.065,16.07,16.065,16.07,4250
2024-11-29 15:42:00,16.065,16.065,16.06,16.06,378
2024-11-29 15:43:00,16.07,16.07,16.05,16.055,7386
2024-11-29 15:44:00,16.055,16.06,16.055,16.055,3571
2024-11-29 15:45:00,16.05,16.0552,16.05,16.055,874
2024-11-29 15:46:00,16.055,16.06,16.055,16.06,4106
2024-11-29 15:47:00,16.065,16.075,16.06,16.07,8697
2024-11-29 15:48:00,16.075,16.075,16.07,16.07,1126
2024-11-29 15:49:00,16.075,16.08,16.07,16.075,3826
2024-11-29 15:50:00,16.0793,16.085,16.065,16.085,20102
2024-11-29 15:52:00,16.089,16.1,16.085,16.1,4151
2024-11-29 15:53:00,16.1,16.105,16.1,16.105,12247
2024-11-29 15:54:00,16.105,16.105,16.105,16.105,400
2024-11-29 15:55:00,16.105,16.105,16.105,16.105,801
2024-11-29 15:56:00,16.105,16.105,16.09,16.09,5753
2024-11-29 15:57:00,16.095,16.105,16.095,16.1,4897
2024-11-29 15:58:00,16.1099,16.1099,16.09,16.095,2565
2024-11-29 15:59:00,16.1,16.105,16.095,16.1,3630
2024-11-29 16:00:00,16.095,16.095,16.0889,16.0889,1290
2024-11-29 16:01:00,16.085,16.085,16.08,16.085,2680
2024-11-29 16:02:00,16.085,16.095,16.085,16.095,10861
